exercise_name,muscle
21s Bicep Curl,Biceps
Ab Scissors,Abdominals
Ab Wheel,Abdominals
Aerobics,Cardio
Air Bike,Cardio
Arnold Press (Dumbbell),Shoulders
Assisted Pistol Squats,Quadriceps
Band Pullaparts,Shoulders
Battle Ropes,Cardio
Behind the Back Curl (Cable),Biceps
Bench Dip,Triceps
Bench Press - Close Grip (Barbell),Triceps
Bicep Curl (Barbell),Biceps
Bicep Curl (Cable),Biceps
Bicep Curl (Dumbbell),Biceps
Bicep Curl (Machine),Biceps
Bicep Curl (Suspension),Biceps
Bicycle Crunch,Abdominals
Bicycle Crunch Raised Legs,Abdominals
Bird Dog,Glutes
Box Jump,Quadriceps
Box Squat (Barbell),Quadriceps
Boxing,Cardio
Bulgarian Split Squat,Quadriceps
Butterfly (Pec Deck),Chest
Cable Core Palloff Press eS),Abdominals
Cable Crunch,Abdominals
Cable Fly Crossovers eS),Chest
Cable Pull Through,Glutes
Cable Twist (Down to up),Abdominals
Cable Twist (Up to down),Abdominals
Chest Supported Y Raise (Dumbbell),Shoulders
Clamshell),Glutes
Cross Body Hammer Curl,Biceps
Crunch,Abdominals
Crunch (Machine),Abdominals
Curtsy Lunge (Dumbbell)),Quadriceps
Dead Bug,Abdominals
Deadlift (Band),Glutes
Deadlift (Barbell),Glutes
Deadlift (Dumbbell),Glutes
Deadlift (Smith Machine),Glutes
Deadlift (Trap bar),Glutes
Deadlift (Trap bar)),Glutes
Decline Crunch (Weighted),Abdominals
Diamond Push Up,Triceps
Drag Curl,Biceps
Dragon Flag,Abdominals
Dumbbell Step Up,Quadriceps
Elbow to Knee,Abdominals
Elliptical Trainer,Cardio
Elliptical Trainer),Cardio
Face Pull,Shoulders
Fire Hydrants),Glutes
Floor Press (Dumbbell),Chest
Flutter Kicks 7),Abdominals
Frog Jumps,Quadriceps
Frog Pumps (Dumbbell),Glutes
Front Raise (Band)),Shoulders
Front Raise (Cable),Shoulders
Front Raise (Dumbbell),Shoulders
Front Raise (Suspension),Shoulders
Front Squat,Quadriceps
Full Squat,Quadriceps
Glute Bridge eS),Glutes
Glute Ham Raise,Hamstrings
Glute Kickback (Machine),Glutes
Glute Kickback on Floor,Glutes
Glute Kickback on Floor),Glutes
Goblet Squat,Quadriceps
Goblet Squat eS),Quadriceps
Good Morning (Barbell),Hamstrings
Hack Squat,Quadriceps
Hack Squat (Machine),Quadriceps
Hammer Curl (Band)),Biceps
Hammer Curl (Cable),Biceps
Hammer Curl (Dumbbell),Biceps
Handstand Push Up,Shoulders
Hanging Knee Raise,Abdominals
Hanging Leg Raise,Abdominals
Hip Abduction (Machine),Abductors
Hip Adduction (Machine),Adductors
Hip Thrust (Barbell),Glutes
Hip Thrust (Machine),Glutes
Hip Thrust (Smith Machine),Glutes
Hollow Rock,Abdominals
Jackknife Sit Up,Abdominals
Jump Rope,Cardio
Jump Rope eS),Cardio
Jump Squat eS),Quadriceps
Jumping Lunge,Quadriceps
Kettlebell Around the World,Shoulders
Kettlebell Curl,Biceps
Kettlebell Goblet Squat,Quadriceps
Kettlebell Halo,Shoulders
Kettlebell Shoulder Press,Shoulders
Landmine 180),Abdominals
Lateral Band Walks,Glutes
Lateral Box Jump,Quadriceps
Lateral Leg Raises,Glutes
Lateral Leg Raises eS,Glutes
Lateral Lunge eS,Quadriceps
Lateral Raise (Band),Shoulders
Lateral Raise (Dumbbell),Shoulders
Lateral Raise (Dumbbell)),Shoulders
Lateral Raise (Machine),Shoulders
Lateral Squat,Quadriceps
Lateral Squat),Quadriceps
Leg Extension (Machine),Quadriceps
Leg Press (Machine),Quadriceps
Leg Press Horizontal (Machine),Quadriceps
Leg Raise Parallel Bars,Abdominals
Lunge (Dumbbell),Quadriceps
Lying Knee Raise,Abdominals
Lying Leg Curl (Machine),Hamstrings
Lying Leg Raise,Abdominals
Lying Neck Curls,Neck
Lying Neck Curls (Weighted),Neck
Lying Neck Extension (Weighted),Neck
Oblique Crunch,Abdominals
Overhead Curl (Cable),Biceps
Overhead Dumbbell Lunge,Quadriceps
Overhead Plate Raise,Shoulders
Overhead Press (Barbell),Shoulders
Overhead Press (Dumbbell)),Shoulders
Overhead Press (Smith Machine),Shoulders
Overhead Triceps Extension (Cable)),Triceps
PF Pause Squat (Barbell),Quadriceps
Pendulum Squat (Machine),Quadriceps
Pike Pushup,Shoulders
Pike Pushup eS),Shoulders
Pinwheel Curl (Dumbbell),Biceps
Pistol Squat S),Quadriceps
Plank,Abdominals
Plate Curl,Biceps
Preacher Curl (Barbell),Biceps
Preacher Curl (Dumbbell),Biceps
Preacher Curl (Machine),Biceps
Push Press,Shoulders
Push Press),Shoulders
Rear Delt Reverse Fly (Cable),Shoulders
Rear Delt Reverse Fly (Dumbbell),Shoulders
Rear Delt Reverse Fly (Machine),Shoulders
Reverse Crunch,Abdominals
Reverse Crunch eS),Abdominals
Reverse Curl (Barbell),Biceps
Reverse Curl (Dumbbell),Biceps
Reverse Fly Single Arm (Cable),Shoulders
Reverse Grip Concentration Curl,Biceps
Reverse Grip Concentration Curl eS),Biceps
Reverse Lunge,Quadriceps
Reverse Lunge (Barbell),Quadriceps
Reverse Lunge (Dumbbell),Quadriceps
Reverse Plank,Abdominals
Reverse Plank eS),Abdominals
Romanian Deadlift (Barbell),Hamstrings
Romanian Deadlift (Dumbbell),Hamstrings
Rope Cable Curl,Biceps
Rowing Machine),Cardio
Russian Twist (Bodyweight),Abdominals
Russian Twist (Weighted),Abdominals
Seated Dip Machine,Triceps
Seated Incline Curl (Dumbbell),Biceps
Seated Lateral Raise (Dumbbell)),Shoulders
Seated Leg Curl (Machine)),Hamstrings
Seated Overhead Press (Barbell)),Shoulders
Seated Overhead Press (Dumbbell),Shoulders
Seated Palms Up Wrist Curl,Forearms
Seated Shoulder Press (Machine),Shoulders
Seated Triceps Press),Triceps
Seated Wrist Extension (Barbell),Forearms
Sel eran see) re),Shoulders
Shoulder Press (Dumbbell)),Shoulders
Shoulder Press (Machine Plates),Shoulders
Shoulder Taps,Shoulders
Shrug (Barbell),Traps
Shrug (Cable),Traps
Shrug (Dumbbell)),Traps
Shrug (Machine),Traps
Shrug (Smith Machine),Traps
Side Bend,Abdominals
Side Bend (Dumbbell)),Abdominals
Side Plank,Abdominals
Single Arm Curl (Cable),Biceps
Single Arm Landmine Press (Barbell),Shoulders
Single Arm Lateral Raise (Cable),Shoulders
Single Arm Triceps Pushdown (Cable),Triceps
Single Leg Extensions,Quadriceps
Single Leg Extensions eS,Quadriceps
Single Leg Glute Bridge eS,Glutes
Single Leg Hip Thrust,Glutes
Single Leg Hip Thrust (Dumbbell),Glutes
Single Leg Press (Machine),Quadriceps
Single Leg Romanian Deadlift (Barbell),Hamstrings
Sissy Squat (Weighted),Quadriceps
Sit Up,Abdominals
Sit Up (Weighted),Abdominals
Sit Up),Abdominals
Skullcrusher (Barbell),Triceps
Split Squat (Dumbbell),Quadriceps
Squat (Band),Quadriceps
Squat (Barbell),Quadriceps
Squat (Bodyweight),Quadriceps
Squat (Dumbbell)),Quadriceps
Squat (Machine),Quadriceps
Squat (Smith Machine),Quadriceps
Squat (Suspension),Quadriceps
Stair Machine (Floors),Cardio
Stair Machine (Steps),Cardio
Standing Cable Glute Kickbacks,Glutes
Standing Calf Raise (Smith)),Calves
Standing Leg Curls,Hamstrings
Standing Military Press (Barbell)),Shoulders
Step Up,Quadriceps
Sternum Pull up (Gironda),Lats
Straight Arm Lat Pulldown (Cable),Lats
Sumo Deadlift,Glutes
Sumo Squat,Quadriceps
Sumo Squat (Barbell)),Quadriceps
Sumo Squat (Dumbbell)),Quadriceps
Sumo Squat (Kettlebell)),Quadriceps
Syelol-Vanat- 1a),Abdominals
Toe Touch,Abdominals
Toes to Bar),Abdominals
Torso Rotation,Abdominals
Treadmill,Cardio
Triceps Dip,Triceps
Triceps Dip (Assisted),Triceps
Triceps Dip (Weighted),Triceps
Triceps Extension (Barbell),Triceps
Triceps Extension (Cable),Triceps
Triceps Extension (Dumbbell),Triceps
Triceps Extension (Machine),Triceps
Triceps Extension (Suspension),Triceps
Triceps Kickback (Cable),Triceps
Triceps Kickback (Dumbbell),Triceps
Triceps Pressdown,Triceps
Triceps Pushdown,Triceps
Upright Row (Barbell),Shoulders
Upright Row (Cable)),Shoulders
Upright Row (Dumbbell),Shoulders
Waiter Curl (Dumbbell),Biceps
Walking Lunge (Dumbbell),Quadriceps
Walking Lunge),Quadriceps
Wall Sit S),Quadriceps
Wide-Elbow Triceps Press (Dumbbell),Triceps
Wrist Roller S),Forearms
Zercher Squat),Quadriceps
Zottman Curl (Dumbbell)),Biceps
