Workout,Strandards
Incline Bench Press (Barbell),Incline Bench Press
Skullcrusher (Barbell),Lying Tricep Extension
EZ Bar Biceps Curl,EZ Bar Curl
Bench Press - Close Grip (Barbell),Close Grip Bench Press
Squat (Barbell),Squat
Bench Press (Barbell),Bench Press
Standing Calf Raise (Dumbbell),Dumbbell Calf Raise
Bicep Curl (Dumbbell),Dumbbell Curl
Overhead Press (Barbell),Military Press
Romanian Deadlift (Barbell),Romanian Deadlift
Lateral Raise (Dumbbell),Dumbbell Lateral Raise
Bent Over Row (Barbell),Bent Over Row
Skullcrusher (Dumbbell),Lying Dumbbell Tricep Extension
Hammer Curl (Dumbbell),Hammer Curl
Seated Palms Up Wrist Curl,Wrist Curl
Decline Crunch (Weighted),Decline Crunch
Shrug (Dumbbell),Dumbbell Shrug
Side Bend (Dumbbell),Dumbbell Side Bend
Shoulder Press (Dumbbell),Dumbbell Shoulder Press
Pendlay Row (Barbell),Pendlay Row
Leg Extension (Machine),Leg Extension
Face Pull,Face Pull
Rear Delt Reverse Fly (Dumbbell),Dumbbell Reverse Fly
Overhead Press (Dumbbell),Dumbbell Shoulder Press
JM Press (Barbell),JM Press
Seated Incline Curl (Dumbbell),Incline Dumbbell Curl
Dumbbell Row,Dumbbell Row
Bent Over Row (Dumbbell),Bent Over Dumbbell Row
Incline Bench Press (Dumbbell),Incline Dumbbell Bench Press
Seated Row (Machine),Machine Row
Seated Cable Row - Bar Grip,Seated Cable Row
Crunch (Machine),Machine Seated Crunch
Lat Pulldown (Cable),Lat Pulldown
Seated Cable Row - Bar Wide Grip,Seated Cable Row
Triceps Pressdown,Tricep Pushdown
Reverse Curl (Dumbbell),Dumbbell Reverse Curl
Bicep Curl (Cable),One Arm Cable Bicep Curl
Bench Press (Dumbbell),Dumbbell Bench Press
Triceps Rope Pushdown,Tricep Rope Pushdown
Iso-Lateral Row (Machine),Iso-Lateral Row
Hammer Curl (Cable),Cable Hammer Curl